0.0000e+00 7.525000e-01 -3.800000e-02 9.888267e-18
1.0000e-02 7.521451e-01 -3.800018e-02 4.989433e-03
2.0000e-02 7.518399e-01 -3.803988e-02 9.955445e-03
3.0000e-02 7.515838e-01 -3.811860e-02 1.489466e-02
4.0000e-02 7.513761e-01 -3.823579e-02 1.980376e-02
5.0000e-02 7.512162e-01 -3.839089e-02 2.467949e-02
6.0000e-02 7.511034e-01 -3.858333e-02 2.951863e-02
7.0000e-02 7.510369e-01 -3.881250e-02 3.431806e-02
8.0000e-02 7.510161e-01 -3.907779e-02 3.907470e-02
9.0000e-02 7.510400e-01 -3.937856e-02 4.378555e-02
1.0000e-01 7.511081e-01 -3.971414e-02 4.844768e-02
1.1000e-01 7.512194e-01 -4.008386e-02 5.305823e-02
1.2000e-01 7.513733e-01 -4.048704e-02 5.761442e-02
1.3000e-01 7.515687e-01 -4.092295e-02 6.211355e-02
1.4000e-01 7.518050e-01 -4.139088e-02 6.655301e-02
1.5000e-01 7.520813e-01 -4.189008e-02 7.093026e-02
1.6000e-01 7.523966e-01 -4.241980e-02 7.524284e-02
1.7000e-01 7.527501e-01 -4.297927e-02 7.948840e-02
1.8000e-01 7.531410e-01 -4.356772e-02 8.366466e-02
1.9000e-01 7.535683e-01 -4.418435e-02 8.776944e-02
2.0000e-01 7.540311e-01 -4.482835e-02 9.180064e-02
2.1000e-01 7.545285e-01 -4.549892e-02 9.575627e-02
2.2000e-01 7.550596e-01 -4.619523e-02 9.963441e-02
2.3000e-01 7.556234e-01 -4.691645e-02 1.034333e-01
2.4000e-01 7.562190e-01 -4.766174e-02 1.071511e-01
2.5000e-01 7.568454e-01 -4.843026e-02 1.107863e-01
2.6000e-01 7.575017e-01 -4.922114e-02 1.143374e-01
2.7000e-01 7.581869e-01 -5.003354e-02 1.178029e-01
2.8000e-01 7.589000e-01 -5.086659e-02 1.211814e-01
2.9000e-01 7.596401e-01 -5.171943e-02 1.244719e-01
3.0000e-01 7.604063e-01 -5.259118e-02 1.276731e-01
3.1000e-01 7.611975e-01 -5.348097e-02 1.307839e-01
